Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2019;31 12 2019;7;11953,69942
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2020;Thursday, 31 Dec 2020;8;11850,36489
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2021;31-12-21;9;11818,71026
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2017;31-12-17;5;6194,650083
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2018;Monday, 31 Dec 2018;6;6079,809595
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2019;31-Dec-19;7;6037,151311
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2020;31-12-20;8;9578,013392
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2021;Fri, 31 December 2021;9;9397,028934
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2017;Sunday, 31 Dec 2017;5;8612,632354
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2018;31 12 2018;6;9053,96233
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2019;31-Dec-19;7;8473,851931
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2020;31-12-20;8;7948,324385
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2021;Friday, 31 Dec 2021;9;8064,157691
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2017;31-12-17;5;2253,437304
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2018;Mon, 31 December 2018;6;2241,465146
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2019;31-Dec-19;7;2218,974341
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2020;Thursday, 31 Dec 2020;8;6347,23031
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2021;Fri, 31 December 2021;9;6330,037814
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2017;Sunday, 31 Dec 2017;5;5685,392992
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2018;Mon, 31 December 2018;6;5327,913134
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2019;31 12 2019;7;4837,773892
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2020;31-Dec-20;8;4493,50525
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2021;31 12 2021;9;4684,668424
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2017;31-Dec-17;5;4521,516581
;;;;;;;;;;
