,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,Volume_liters
80,World,Alcoholic Drinks,Beer,1.0,Total Volume,Carlsberg A/S,million litres,2020.0,31-12-2020,8.0,11850.36489,11850364890.0
81,World,Alcoholic Drinks,Beer,1.0,Total Volume,Carlsberg A/S,million litres,2021.0,31-12-2021,9.0,11818.71026,11818710260.0
82,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2017.0,31-12-2017,5.0,6194.650083,6194650083.0
83,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2018.0,31-12-2018,6.0,6079.809595,6079809595.0
84,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2019.0,31-12-2019,7.0,6037.151311,6037151311.0
85,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2020.0,31-12-2020,8.0,9578.013392,9578013392.0
86,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2021.0,31-12-2021,9.0,9397.028934,9397028934.0
87,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2017.0,31-12-2017,5.0,8612.632354,8612632354.0
88,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2018.0,31-12-2018,6.0,9053.96233,9053962330.0
89,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2019.0,31-12-2019,7.0,8473.851931,8473851930.999999
90,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2020.0,31-12-2020,8.0,7948.324385,7948324385.0
91,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2021.0,31-12-2021,9.0,8064.157691,8064157691.0
92,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2017.0,31-12-2017,5.0,2253.437304,2253437304.0
93,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2018.0,31-12-2018,6.0,2241.465146,2241465146.0
94,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2019.0,31-12-2019,7.0,2218.974341,2218974341.0
95,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2020.0,31-12-2020,8.0,6347.23031,6347230310.0
96,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2021.0,31-12-2021,9.0,6330.037814,6330037814.0
97,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2017.0,31-12-2017,5.0,5685.392992,5685392992.0
98,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2018.0,31-12-2018,6.0,5327.913134,5327913134.0
99,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2019.0,31-12-2019,7.0,4837.773892,4837773892.0
100,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2020.0,31-12-2020,8.0,4493.50525,4493505250.0
101,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2021.0,31-12-2021,9.0,4684.668424,4684668424.0
102,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2017.0,31-12-2017,5.0,4521.516581,4521516581.0
103,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2018.0,31-12-2018,6.0,4266.661004,4266661003.9999995
104,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2019.0,31-12-2019,7.0,4298.312544,4298312544.0
105,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2020.0,31-12-2020,8.0,4038.236031,4038236031.0
